Progress,Duration (in seconds),Finished,ResponseId,1,2,3,4,5#1_1,5#1_2,5#1_3,5#1_4,5#1_5,5#1_6,5#1_7,5#1_8,5#1_9,5#1_10,5#1_11,7 _1,7 _2,7 _3,7 _4,7 _5,7 _6,7 _7,7 _8,7 _9,7 _10,7 _11,7 _12,7 _13,7 _14,7 _15,7 _16,7 _17,7 _18,7 _19,7 _20,7 _21,7 _22,7 _23,7 _24,7 _25,7 _26,7 _27,7 _28,7 _29,7 _30,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10,7_11,7_12,7_13,7_14,7_15,7_16,7_17,7_18,7_19,7_20,7_21,7_22,7_23,7_24,7_25,7_26,7_27,7_28,7_29,7_30,7_31,7_32,7_33,7_34,7_35,7_36,7_37,7_38,7_39,7_40,7_41,7_42,7_43,7_44,7_45,7_46,7_47,7_48,7_49,7_50,7_51,7_52,7_53,7_54,7_55,7_56,7_57,7_58,7_59,7_60,7_61,7_62,7_63,7_64,7_65,7_66,7_67,7_68,7_69,7_70,7_71,7 _1,7 _2,7 _3,7 _4,7 _5,7 _6,7 _7
100,2385,1,R_6xz77Um73Aj59BQ,4,5,5,2,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,5,1,1,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,1,7,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,3
100,1700,1,R_100Fhc2CWR7E3i9,3,3,3,"2,3",,,,"1,2,3,4",,,"1,2,3,4",,,,,,,,,,,,8,8,4,8,8,8,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,1,8,8,8,8,8,1,8,1,5,5,5,5,5,6,6,6,5,4,5,4,4,4,4,4,7,4,4,4,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,1,1,1
100,522,1,R_4gMUqgEO8bBiTZs,5,3,2,4,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,7,7,1,1,1,2,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
100,311,1,R_3ZCGGKbOFSqmdNo,5,5,4,"3,4",,"1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,2,1,1,1,1,1,1,5,1,1,1,1,,1,7,1,1,1,5,1,1,7,1,1,1,1,1,1,1,1,,,,,,,
100,189,1,R_7McAanLfi5QDrH2,6,3,3,"2,3",,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,"1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,6,7,5,3,1,1,1,1,1,1,1,1,1,,,,,,,
100,422,1,R_3mkvFlVW7Cg6jQ7,3,4,4,"1,2,3",,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,6,6,6,6,2,5,5,1,2,5,5,2,1,2,5,1,1,1,1,1,1,6,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
100,434,1,R_6kpGusvDEJcbb6S,3,4,4,"1,2",,"1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4",,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,5,5,8,1,5,6,1,1,1,1,1,1,4,1,8,5,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
100,211,1,R_6UtOOcrpHyBAIzD,5,4,4,"1,2,3","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,5,1,4,1,5,3,1,1,3,4,7,5,7,,7,5,6,5,5,7,7,7,7,4,5,4,4,6,1,1,1,,,,,,,
100,788,1,R_5koobyuDy8SU5Rg,5,3,3,"2,3",,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,"1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,1,1,1,1,1,1,1,8,5,1,1,5,1,,1,1,1,1,1,1,1,1,5,1,5,1,1,5,1,1,1,,,,,,,
100,489,1,R_3ekJ0mHOekIaxg0,1,5,5,"2,3",,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,7,7,4,7,7,7,4,2,6,3,7,7,2,5,3,4,4,4,,,,,,,,,,,,,7,6,5,5,5,3,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,3,7,3,7,3
100,856,1,R_2pDNyJxARXTtOyl,1,3,3,"1,2,3,4",,,"2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4","1,2,3,4",1,1,1,1,1,1,1,1,8,1,8,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,2,1,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
100,409,1,R_1HXknhZxaBLK9Pz,2,6,6,"1,2",,,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",1,1,1,1,1,1,1,1,1,1,8,8,1,7,1,8,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,1,7,1,8,1,8,1,8,1,1,1,1,1,1,1,6,1,1,1,1,7,1,7,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
100,1170,1,R_3kLbLtDaSit3CNk,4,6,6,"2,3","1,2,3,4,5",,,,,,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,8,1,4,1,1,1,8,1,1,7,3,1,,7,1,4,2,1,1,1,1,1,2,2,7,4,1,5,6,1,1,1,1,2,5,6,1,1,1,1,1,4,1,,1,1,1,1,1,4,3,1,6,4,1,1,1,1,1,1,1,,,1,1,1,1,1
100,516,1,R_6Sk6vzN4UFyXpf1,3,4,4,"2,3",,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,2,1,7,7,1,3,6,6,2,4,5,3,3,2,2,3,2,2,4,2,7,5,2,2,4,4,4,2,1,4,7,5,1,5,4,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
100,382,1,R_6LjkBLGCra2gis7,5,2,3,"1,2",,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,4,5,2,3,3,7,4,2,4,7,7,7,,4,5,3,6,5,6,7,6,5,6,5,7,5,4,5,6,7,,,,,,,
100,3344,1,R_1WZ5RenaDNZwpM5,5,2,2,"2,3",,,,,,,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,1,5,1,7,7,1,1,7,1,1,1,1,3,,1,1,1,1,1,4,1,7,7,1,7,1,1,1,1,1,1,,,,,,,
100,266,1,R_614HdJhGSbCs7AT,3,4,4,"1,3",,,"1,2,3,4,5",,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
100,372,1,R_6ohedJrrOxHQZUu,3,4,4,"1,2",,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4","1,2,3,4","1,2,3,4",,,,,,,,,,1,1,6,1,1,4,1,1,2,2,1,3,2,3,3,3,3,3,2,3,3,3,1,1,1,1,1,1,1,1,1,1,8,8,4,4,4,4,1,1,1,3,3,1,1,2,5,1,1,2,3,1,1,1,1,3,3,6,3,4,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
100,429,1,R_1OIYIzgKm4aThxK,4,1,1,3,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,1,1,8,2,5,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,,2,2,1,3,1,1,1,2,2,1,4,1,1,1,8,8,1,2,4,8,1,,3,2,5,1,3,1,1,1,4,1,3,3,1,4,3,3,1,1,1,1,1,1,1,3,1,3,1,1,1,1,,1,1,1,1,1,4,1,3,1,1,1,1,4,4,1,1,1,,,8,8,8,8,1
100,1438,1,R_6ylol9PDtJnPUKy,3,3,3,"2,3",,,"1,2,3,4","1,2,3,4",,,"1,2,3,4","1,2,3,4","1,2,3,4",,,,,,,,,,1,1,1,1,1,3,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,1,1,8,1,1,1,1,1,1,8,8,8,8,8,8,3,2,2,1,4,4,4,3,2,5,7,1,1,5,5,5,5,3,7,4,1,8,2,3,3,1,3,1,6,3,1,1,7,3,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,1,1,1
100,3077,1,R_6QRFpnXMABo2psX,3,4,4,"1,2,3",,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,8,8,4,8,8,4,6,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,1,8,8,8,8,8,8,8,8,8,8,5,5,5,5,4,5,5,3,6,5,5,4,5,5,6,4,3,3,3,3,3,5,6,4,4,5,5,5,5,5,4,3,5,5,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,3,6,3
100,691,1,R_3RggZbFBlptYdFG,1,3,3,"1,3",,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,,,,,,,,,,,,,1,1,8,8,8,8,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
100,557,1,R_1qduUmRRecbdDAQ,2,5,4,"3,4",,,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,1,3,1,2,4,2,3,3,4,3,3,2,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
100,1326,1,R_1ItqGbfF3oyXTVC,3,4,4,"1,3,4","1,2,3,4,5",,,,,,,,,"1,2,3,4,5","1,2,3,4,5",,,,,,,,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,7,7,7,7,7,1,7,1,5,1,3,3,1,7,1,1,1,1,1,1,1,1,4,1,6,7,4,1,1,1,1,1,1,1,1,7,7,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,7
100,991,1,R_8oztPuiQPEPOhUJ,2,4,4,4,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
100,394,1,R_4vqsa9bqFLJEYj7,5,4,3,3,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,1,1,1,1,1,4,7,1,1,1,,1,4,3,2,1,2,4,3,7,4,2,1,1,1,1,1,1,,,,,,,
100,353,1,R_3CVH0oc0uNXwSxf,4,5,4,"3,4",,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,5","1,2,3,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,1,1,1,1,,1,1,1,1,1,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,,,1,4,1,1,1
100,556,1,R_1EcvM4Tz7n8ZELk,5,3,2,1,,,,"2,3,4","2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,8,1,1,1,1,1,1,1,1,1,1,8,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
100,190,1,R_1eX7pfHelOXQ3GF,3,4,4,2,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,1,1,5,5,5,6,7,4,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,1,1,5,5,5,4,4,5,5,3,3,3,3,3,1,4,4,4,6,7,4,4,4,6,5,6,3,3,3,3,3,3,5,5,3,3,4,4,4,4,5,3,3,4,6,6,3,6,6,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,6,5,6
100,491,1,R_33AAivStq0PAqJz,3,2,2,"2,3",,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,3,3,3,3,3,3,5,4,2,2,2,3,3,3,2,2,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,3,5,3,4,4,4,3,4,8,8,4,3,3,3,3,3,4,4,4,4,3,4,3,4,4,5,4,3,3,5,4,5,4,3,5,3,5,3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8
100,514,1,R_6SqcGOCiaCi7ZjP,3,4,4,"1,2,3,4",,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,"1,2,3,4","1,2,3,4","1,2,3,4",,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,6,6,3,3,7,7,4,2,2,6,4,5,4,4,4,3,3,5,4,3,3,4,2,2,3,4,5,5,3,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,4,4
100,237,1,R_6ePjMU2ufvnMc3y,5,4,4,3,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,1,1,1,1,1,1,1,3,2,7,3,3,6,,1,1,1,1,1,4,1,5,7,1,7,1,1,1,1,1,1,,,,,,,
100,237,1,R_5xJ0cWlOsovznia,5,5,4,"1,3",,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,4,1,1,8,1,1,3,1,3,4,2,4,4,,2,2,2,4,3,5,4,5,1,2,1,2,3,5,2,2,2,,,,,,,
100,132,1,R_13igsbpFSRS6Spb,2,3,4,4,,,,,,,"1,2,3,4","1,2,3,4",,,,4,4,5,5,3,6,3,5,3,4,1,6,6,3,3,6,4,6,3,6,5,7,6,4,4,6,6,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,5,4,5,6
100,4924,1,R_1DBZtACXGvVH9DE,5,1,1,3,,,"1,2,3,4,5","1,2,3,4,5",,,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,1,6,7,4,1,7,1,1,1,7,1,,7,1,1,1,7,7,7,7,7,1,7,7,7,7,7,1,1,,,,,,,
100,423,1,R_78LZstlYgAcz4bY,4,4,4,"2,3",,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,5,5,2,3,4,4,,2,7,1,4,2,1,1,1,1,4,1,6,5,7,4,1,1,1,5,2,2,6,2,3,6,3,1,1,1,1,,4,1,1,5,1,1,6,5,5,1,5,1,1,1,1,1,1,,,1,1,1,1,1
100,331,1,R_8flwGhSmRiDv3KI,1,4,4,"2,3",,,,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,"1,2,3,4,5",8,8,5,5,5,5,5,5,5,3,6,6,3,5,2,2,2,3,,,,,,,,,,,,,8,4,4,4,4,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,6,3,6,3
100,2718,1,R_5wSRdwMKaSpG2yB,2,7,6,"1,3",,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,8,8,8,8,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,3,6,1,1,3,2,1,1,1,6,1,5,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,5
100,264,1,R_6hm9l2Vr04ahK9o,5,4,4,"2,3",,"2,3,4","2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,2,3,4,4,2,3,3,5,6,1,1,5,,1,4,4,4,2,1,5,5,5,5,1,1,1,5,1,1,1,,,,,,,
100,348,1,R_33deFiudiLFJaJ2,6,3,3,2,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,5,2,2,1,1,5,7,1,8,1,1,1,7,6,4,1,1,1,8,1,1,1,1,4,1,7,1,1,,,,,,,
100,389,1,R_52DNAzCIwhLnhJD,2,3,3,"2,3,4",,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,3,3,3,3,3,3,3,8,8,3,8,8,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,5,5,5,5,5,4,4,3,4,4,4,4,3,3,6,3,6,3,4,4,4,3,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,1,3,1
100,363,1,R_5otFavXAbTtMOmR,3,4,4,"2,3,4",,,"1,2,3,4","1,2,3,4","1,2,3,4,5","1,2,3,4,5","1,2,3,4","1,2,3,4","1,2,3,4",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,7,7,7,7,7,7,7,6,8,8,1,7,5,7,1,7,7,7,7,7,1,1,1,1,1,1,7,7,7,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,8,1,8,8,4,8,1
100,708,1,R_2pcloTwJqFqSXXN,3,4,4,"2,3",,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,7,4,1,5,5,2,4,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,5,8,5,5,5,5,5,3,4,4,1,4,1,5,6,5,4,4,4,4,4,5,4,5,4,4,4,5,5,3,5,5,5,5,3,1,7,3,,,,,,,,,,,,,,,,,,,,,,,5,4,5,5,1,5,1
100,133,1,R_6qpI6dTDjD8GGPp,3,3,1,4,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
100,724,1,R_60A7VR6W78fGWBa,3,5,5,3,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,6,3,1,2,4,5,5,1,6,6,6,8,8,8,8,8,8,7,8,8,8,8,8,1,1,1,8,8,1,3,5,6,8,8,5,7,5,5,5,7,7,5,5,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,5,5,6,6,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,1,1,3,3,1,1,1
100,444,1,R_778PtQzVlTFBlE4,6,2,2,4,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4","1,2,3,4","1,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,4,3,2,2,4,7,5,3,7,1,2,6,7,2,3,2,4,7,3,5,2,6,7,6,5,1,6,7,1,6,,,,,,,
100,265,1,R_62L2LOohM5Z9jBO,6,3,3,"1,3",,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,2,2,3,1,3,1,3,2,1,1,1,1,1,3,4,1,5,5,4,1,3,6,2,3,6,5,,,,,,,
100,346,1,R_7w1HS3uj7ZEYeNH,2,5,5,"1,3,4",,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,7,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,5,1,6,1,1,6,1,4,4,1,1,1,7,1,1,1,6,5,1,1,1,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,5,1
